"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"KTP","Lehman ABS Corporation","13.7862","0","n/a","United States","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/ktp",
"LDOS","Leidos Holdings, Inc.","65.23","9892389702.47","n/a","United States","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/ldos",
"LACQ","Leisure Acquisition Corp.","9.65","241250000","n/a","United States","2017","Finance","Business Services","https://www.nasdaq.com/symbol/lacq",
"LACQU","Leisure Acquisition Corp.","9.94","0","n/a","United States","2017","Finance","Business Services","https://www.nasdaq.com/symbol/lacqu",
"LACQW","Leisure Acquisition Corp.","0.75","0","n/a","United States","2017","Finance","Business Services","https://www.nasdaq.com/symbol/lacqw",
"LMAT","LeMaitre Vascular, Inc.","40.25","776071037","n/a","United States","2006","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/lmat",
"LC","LendingClub Corporation","3.31","1382188922.85","n/a","United States","2014","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/lc",
"TREE","LendingTree, Inc.","314.1","3845762503.2","n/a","United States","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/tree",
"LEN","Lennar Corporation","56.94","18723882095.88","n/a","United States","n/a","Basic Industries","Homebuilding","https://www.nasdaq.com/symbol/len",
"LEN.B","Lennar Corporation","n/a","0","n/a","United States","n/a","Basic Industries","Homebuilding","https://www.nasdaq.com/symbol/len.b",
"LII","Lennox International, Inc.","198.71","8182239344.77","n/a","United States","1999","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/lii",
"LUK","Leucadia National Corporation","24.3","8656942262.4","n/a","United States","n/a","Consumer Non-Durables","Meat/Poultry/Fish","https://www.nasdaq.com/symbol/luk",
"LEVB","Level Brands, Inc.","4.49","36049886.72","n/a","United States","2017","Consumer Non-Durables","Package Goods/Cosmetics","https://www.nasdaq.com/symbol/levb",
"LXRX","Lexicon Pharmaceuticals, Inc.","8.09","854237888.52","n/a","United States","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/lxrx",
"LXP","Lexington Realty Trust","7.82","1882804805.96","n/a","United States","n/a","n/a","n/a","https://www.nasdaq.com/symbol/lxp",
"LXP^C","Lexington Realty Trust","49.59","0","n/a","United States","n/a","n/a","n/a","https://www.nasdaq.com/symbol/lxp^c",
"LGIH","LGI Homes, Inc.","69.87","1560354936.33","n/a","United States","2013","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/lgih",
