"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"HUD","Hudson Ltd.","15.16","1402467972.8","n/a","United Kingdom","2018","Consumer Services","Department/Specialty Retail Stores","https://www.nasdaq.com/symbol/hud",
"ICLR","ICON plc","119.8","6478975799.8","n/a","Ireland","1998","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://www.nasdaq.com/symbol/iclr",
"IFRX","InflaRx N.V.","32.96","784846816","n/a","Germany","2017","n/a","n/a","https://www.nasdaq.com/symbol/ifrx",
"ING","ING Group, N.V.","17.36","67496376691.52","n/a","Netherlands","1997","Finance","Commercial Banks","https://www.nasdaq.com/symbol/ing",
"ISF","ING Group, N.V.","25.64","0","n/a","Netherlands","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/isf",
"ISG","ING Group, N.V.","25.53","0","n/a","Netherlands","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/isg",
"IR","Ingersoll-Rand plc (Ireland)","84.13","21023186724.87","n/a","Ireland","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/ir",
"I","Intelsat S.A.","7.08","846489607.32","n/a","Luxembourg","2013","Consumer Services","Telecommunications Equipment","https://www.nasdaq.com/symbol/i",
"IHG","Intercontinental Hotels Group","60.29","11495490622.31","n/a","United Kingdom","n/a","Consumer Services","Hotels/Resorts","https://www.nasdaq.com/symbol/ihg",
"INXN","InterXion Holding N.V.","63.07","4498593890","n/a","Netherlands","2011","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/inxn",
"JHX","James Hardie Industries plc.","18","7947434124","n/a","Ireland","n/a","Capital Goods","Building Materials","https://www.nasdaq.com/symbol/jhx",
"JAZZ","Jazz Pharmaceuticals plc","156.07","9957796013.72","n/a","Ireland","2007","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/jazz",
"JCI","Johnson Controls International plc","34.08","31562271840","n/a","Switzerland","n/a","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/jci",
"KALV","KalVista Pharmaceuticals, Inc.","9.29","100293864.55","n/a","United Kingdom","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/kalv",
"KNOP","KNOT Offshore Partners LP","20.15","658785994.1","n/a","United Kingdom","2013","Consumer Services","Marine Transportation","https://www.nasdaq.com/symbol/knop",
"PHG","Koninklijke Philips N.V.","39.48","36566049224.04","n/a","Netherlands","n/a","Energy","Consumer Electronics/Appliances","https://www.nasdaq.com/symbol/phg",
"LBTYA","Liberty Global plc","30.8","24924916632","n/a","United Kingdom","n/a","Consumer Services","Television Services","https://www.nasdaq.com/symbol/lbtya",
"LBTYB","Liberty Global plc","31.65","25612779591","n/a","United Kingdom","n/a","Consumer Services","Television Services","https://www.nasdaq.com/symbol/lbtyb",
"LBTYK","Liberty Global plc","29.8","24115666092","n/a","United Kingdom","n/a","Consumer Services","Television Services","https://www.nasdaq.com/symbol/lbtyk",
"LIQT","LiqTech International, Inc.","0.392","17337871.488","n/a","Denmark","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/liqt",
"LIVN","LivaNova PLC","85.99","4152990409.98","n/a","United Kingdom","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://www.nasdaq.com/symbol/livn",
"LYG","Lloyds Banking Group Plc","3.94","71065335103.08","n/a","United Kingdom","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/lyg",
"LXFR","Luxfer Holdings PLC","13.79","365496696.46","n/a","United Kingdom","2012","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/lxfr",
"LYB","LyondellBasell Industries NV","103.04","40563803064.96","n/a","Netherlands","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/lyb",
"MX","MagnaChip Semiconductor Corporation","9.75","333479815.5","n/a","Luxembourg","2011","Technology","Semiconductors","https://www.nasdaq.com/symbol/mx",
"MNK","Mallinckrodt plc","13.79","1191281225.54","n/a","Ireland","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/mnk",
"MANU","Manchester United Ltd.","19.25","3160749014.5","n/a","United Kingdom","2012","Consumer Services","Services-Misc. Amusement & Recreation","https://www.nasdaq.com/symbol/manu",
"MTLS","Materialise NV","11.71","554180878.98","n/a","Belgium","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/mtls",
"MRUS","Merus N.V.","18.05","350343406.35","n/a","Netherlands","2016","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/mrus",
"MTD","Mettler-Toledo International, Inc.","568.21","14461199058.08","n/a","Switzerland","1997","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/mtd",
"MTP","Midatech Pharma PLC","0.8","24433653.6","n/a","United Kingdom","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/mtp",
"MIME","Mimecast Limited","37.35","2159265799.8","n/a","United Kingdom","2015","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/mime",
"MYL","Mylan N.V.","40.62","20910433019.58","n/a","United Kingdom","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/myl",
"NBRV","Nabriva Therapeutics plc","4.91","180277307.96","n/a","Ireland","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/nbrv",
"NGG","National Grid Transco, PLC","58.88","39505980131.84","n/a","United Kingdom","n/a","Public Utilities","Natural Gas Distribution","https://www.nasdaq.com/symbol/ngg",
"NTZ","Natuzzi, S.p.A.","1.7034","93436676.853","n/a","Italy","1993","Consumer Durables","Home Furnishings","https://www.nasdaq.com/symbol/ntz",
"NNA","Navios Maritime Acquisition Corporation","0.8192","120492966.7072","n/a","Greece","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/nna",
"NMM","Navios Maritime Partners LP","1.7","284902598.8","n/a","Greece","2007","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/nmm",
"NMRD","Nemaura Medical Inc.","4.11","278148360","n/a","United Kingdom","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/nmrd",
"NEON","Neonode Inc.","0.4692","27492540.8076","n/a","Sweden","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/neon",
"NLSN","Nielsen N.V.","32.34","11523358788.48","n/a","Netherlands","2011","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/nlsn",
"NITE","Nightstar Therapeutics plc","14.6","422008824.4","n/a","United Kingdom","2017","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/nite",
"NE","Noble Corporation","4.39","1083347592.63","n/a","Switzerland","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/ne",
"NOK","Nokia Corporation","5.52","31085916757.68","n/a","Finland","1994","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/nok",
"NVS","Novartis AG","81.04","187806674678.96","n/a","Switzerland","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/nvs",
